10:44:28,24.8,47.0
10:44:30,24.8,46.0
10:44:32,24.8,45.0
10:44:34,24.8,45.0
10:44:36,24.8,45.0
10:44:38,24.8,45.0
10:44:40,24.8,45.0
10:44:42,24.8,44.0
10:44:44,24.8,44.0
10:44:46,24.8,44.0
10:44:48,24.8,43.0
10:44:50,24.8,43.0
10:44:52,24.8,43.0
10:44:54,24.8,43.0
10:44:56,24.8,43.0
10:44:58,24.8,43.0
10:45:00,24.8,43.0
10:45:02,24.8,42.0
10:45:04,24.8,42.0
10:45:06,24.7,42.0
10:45:08,24.5,42.0
10:45:10,24.5,42.0
10:45:12,24.5,42.0
10:45:14,24.5,42.0
10:45:16,24.5,42.0
10:45:18,24.5,42.0
10:45:20,24.5,42.0
10:45:22,24.5,41.0
10:45:24,24.5,41.0
10:45:26,24.5,41.0
10:45:28,24.5,41.0
10:45:31,24.5,41.0
10:45:33,24.5,41.0
10:45:35,24.5,41.0
10:45:37,24.5,41.0
10:45:39,24.5,41.0
10:45:41,24.5,41.0
10:45:43,24.5,41.0
10:45:45,24.5,41.0
10:45:47,24.5,41.0
10:45:49,24.5,41.0
10:45:51,24.5,41.0
10:45:53,24.5,40.0
10:45:55,24.5,40.0
10:45:57,24.5,40.0
10:45:59,24.5,40.0
10:46:01,24.5,41.0
10:46:03,24.5,41.0
10:46:05,24.5,41.0
10:46:07,24.5,41.0
10:46:09,24.5,41.0
10:46:11,24.5,41.0
10:46:13,24.5,41.0
10:46:15,24.5,41.0
10:46:17,24.5,41.0
10:46:19,24.5,41.0
10:46:21,24.5,41.0
10:56:53,24.1,41.0
10:56:55,24.1,41.0
10:56:57,24.1,41.0
10:56:59,24.1,41.0
10:57:01,24.1,41.0
10:57:03,24.1,42.0
10:57:06,24.1,42.0
10:57:08,24.1,42.0
10:57:10,24.1,42.0
10:57:12,24.1,43.0
10:57:14,24.1,44.0
10:57:16,24.1,44.0
10:57:18,24.1,43.0
10:57:20,24.1,43.0
10:57:22,24.1,42.0
10:57:24,24.1,42.0
10:57:26,24.1,42.0
10:57:28,24.1,41.0
10:57:30,24.1,41.0
10:57:32,24.1,41.0
10:57:34,24.1,41.0
10:57:36,24.1,41.0
10:57:38,24.1,41.0
10:57:40,24.1,40.0
10:57:42,24.1,40.0
10:57:44,24.1,40.0
10:57:46,24.1,40.0
10:57:48,24.1,40.0
10:57:50,24.1,40.0
10:57:52,24.1,40.0
10:57:54,24.1,39.0
10:57:56,24.1,39.0
10:57:58,24.1,39.0
10:58:00,24.1,39.0
10:58:02,24.1,39.0
10:58:04,24.1,50.0
10:58:06,24.1,56.0
10:58:08,24.1,59.0
10:58:10,24.1,63.0
10:58:12,24.1,64.0
10:58:14,24.4,68.0
10:58:16,24.5,71.0
10:58:18,24.5,72.0
10:58:20,24.5,72.0
10:58:22,24.5,72.0
10:58:24,24.5,73.0
10:58:27,24.5,75.0
10:58:29,24.5,77.0
10:58:31,24.8,77.0
10:58:33,24.8,79.0
10:58:35,24.8,80.0
10:58:37,24.8,81.0
10:58:39,25.3,81.0
10:58:41,25.3,82.0
10:58:43,25.3,83.0
10:58:45,25.3,84.0
10:58:47,25.8,85.0
10:58:49,25.8,85.0
10:58:51,25.8,85.0
10:58:53,25.8,85.0
10:58:55,26.2,85.0
10:58:57,26.2,85.0
10:58:59,26.2,84.0
10:59:01,26.2,81.0
10:59:03,26.2,81.0
10:59:05,26.2,79.0
10:59:07,26.2,77.0
10:59:09,26.2,76.0
10:59:11,26.2,73.0
10:59:13,26.2,72.0
10:59:15,26.2,70.0
10:59:17,26.2,68.0
10:59:19,26.2,65.0
10:59:21,26.2,63.0
10:59:23,26.2,61.0
10:59:25,26.2,59.0
10:59:27,26.2,58.0
10:59:29,26.2,56.0
10:59:31,26.2,54.0
10:59:33,26.2,53.0
10:59:35,26.2,52.0
10:59:37,26.2,51.0
10:59:39,26.2,50.0
10:59:41,25.8,49.0
10:59:43,25.8,49.0
10:59:46,25.8,48.0
10:59:48,25.8,47.0
10:59:50,25.8,47.0
10:59:52,25.8,46.0
10:59:54,25.8,46.0
10:59:56,25.8,45.0
10:59:58,25.8,44.0
11:00:00,25.8,44.0
11:00:02,25.8,44.0
11:00:04,25.8,43.0
11:00:06,25.8,43.0
11:00:08,25.8,43.0
11:00:10,25.8,42.0
11:00:12,25.8,42.0
11:00:14,25.8,42.0
11:00:16,25.8,42.0
11:00:18,25.5,42.0
11:00:20,25.3,41.0
11:00:22,25.3,41.0
11:00:24,25.3,41.0
11:00:26,25.3,41.0
11:00:28,25.3,41.0
11:00:30,25.3,40.0
11:00:32,25.3,40.0
11:00:34,25.3,40.0
11:00:36,25.3,40.0
11:00:38,25.3,40.0
11:00:40,25.3,40.0
11:00:42,25.3,40.0
11:00:44,25.3,40.0
11:00:46,25.3,39.0
11:00:48,25.3,39.0
11:00:50,25.3,39.0
11:00:52,25.3,39.0
11:00:54,25.3,39.0
11:00:56,25.3,39.0
11:00:58,25.3,39.0
11:01:00,25.3,39.0
11:01:02,25.3,39.0
11:01:04,25.3,39.0
11:01:07,25.3,39.0
11:01:09,25.3,40.0
11:01:11,25.3,40.0
11:01:13,25.3,40.0
11:01:15,25.3,40.0
11:01:17,25.2,40.0
11:01:19,25.0,40.0
11:01:21,24.9,40.0
11:01:23,24.8,41.0
11:01:25,24.8,41.0
11:01:27,24.8,41.0
11:01:29,24.8,41.0
11:01:31,24.8,41.0
11:01:33,24.8,41.0
11:01:35,24.8,40.0
11:01:37,24.8,40.0
11:01:39,24.8,40.0
11:01:41,24.8,40.0
11:01:43,24.8,40.0
11:01:45,24.8,40.0
11:01:47,24.8,40.0
11:01:49,24.8,40.0
11:01:51,24.8,40.0
11:01:53,24.8,39.0
11:01:55,24.8,40.0
11:01:57,24.8,40.0
11:01:59,24.8,40.0
11:02:01,24.8,40.0
11:02:03,25.3,47.0
11:02:05,25.3,58.0
11:02:07,25.8,64.0
11:02:09,25.8,65.0
11:02:11,25.8,67.0
11:02:13,25.8,67.0
11:02:15,25.8,67.0
11:02:17,25.8,66.0
11:02:19,25.8,68.0
11:02:21,25.8,72.0
11:02:23,25.8,73.0
11:03:29,25.3,46.0
11:03:31,25.3,45.0
11:03:33,25.3,45.0
11:03:35,25.3,45.0
11:03:37,25.3,44.0
11:03:39,25.3,44.0
11:03:41,25.3,44.0
11:03:43,25.3,43.0
11:03:45,25.3,43.0
11:03:47,25.3,43.0
11:03:49,25.3,42.0
11:03:51,25.3,42.0
11:03:53,25.1,43.0
11:03:55,24.8,44.0
11:03:57,24.8,44.0
11:03:59,24.8,44.0
11:04:01,24.8,44.0
11:04:03,24.8,44.0
11:04:05,24.8,43.0
11:04:07,24.8,44.0
11:04:09,24.8,45.0
11:04:11,24.8,45.0
11:04:13,24.8,48.0
11:04:15,24.8,52.0
11:04:17,25.1,56.0
11:04:19,25.3,61.0
11:04:21,25.3,66.0
11:04:24,25.3,69.0
11:04:26,25.3,70.0
11:04:28,25.8,70.0
11:04:30,25.8,71.0
11:04:32,25.8,70.0
11:04:34,25.8,69.0
11:04:36,25.8,69.0
11:04:38,25.8,67.0
11:04:40,25.8,64.0
11:04:42,25.8,63.0
11:04:44,25.7,61.0
11:04:46,25.3,59.0
11:04:48,25.3,58.0
11:04:50,25.3,56.0
11:04:52,25.3,56.0
11:04:54,25.3,55.0
11:04:56,25.3,54.0
11:04:58,25.3,54.0
11:05:00,25.3,53.0
11:05:02,25.3,53.0
11:05:04,25.3,52.0
11:05:06,25.3,51.0
11:05:08,25.3,51.0
11:05:10,25.3,50.0
11:05:12,25.3,49.0
11:05:14,25.3,49.0
11:05:16,25.3,49.0
11:05:18,25.3,48.0
11:05:20,25.3,48.0
11:05:22,25.3,47.0
11:05:24,25.3,47.0
11:05:26,25.3,46.0
11:05:28,25.3,46.0
11:05:30,25.3,45.0
11:05:32,25.3,45.0
11:05:34,25.3,44.0
11:05:36,25.3,44.0
11:06:09,25.3,42.0
11:06:11,24.9,42.0
11:06:13,24.9,42.0
11:06:15,24.9,42.0
11:06:17,24.9,42.0
11:06:19,25.0,42.0
11:06:21,25.0,42.0
11:06:52,24.8,41.0
11:06:54,24.8,41.0
11:06:56,24.8,41.0
11:06:58,24.8,41.0
11:07:00,24.8,41.0
11:07:02,24.8,41.0
11:07:04,24.8,40.0
11:07:06,24.8,40.0
11:07:08,24.8,40.0
11:07:10,24.8,40.0
11:07:12,24.8,40.0
11:07:14,24.8,40.0
11:07:16,24.8,40.0
